anime_id,name,genre,rating,members
32281,Kimi no Na wa,drama romance school supernatural,9.37,200630
9253,SteinsGate,scifi thriller,9.17,673572
11061,Hunter x Hunter 2011,action adventure shounen super power,9.13,425855
15335,Gintama Movie Kanketsuhen  Yorozuya yo Eien Nare,action comedy historical parody samurai scifi shounen,9.1,72534
1,Cowboy Bebop,action adventure comedy drama scifi space,8.82,486824
164,Mononoke Hime,action adventure fantasy,8.81,339556
7311,Suzumiya Haruhi no Shoushitsu,comedy mystery romance school scifi supernatural,8.81,240297
2001,Tengen Toppa Gurren Lagann,action adventure comedy mecha scifi,8.78,562962
5258,Hajime no Ippo New Challenger,comedy drama shounen sports,8.75,88995
28957,Mushishi Zoku Shou Suzu no Shizuku,adventure fantasy historical mystery seinen slice of life supernatural,8.75,32266
11741,FateZero 2nd Season,action fantasy supernatural thriller,8.73,340973
12365,Bakuman 3rd Season,comedy drama romance shounen,8.71,133620
5028,Major S5,comedy drama romance sports,8.58,28653
5205,Kara no Kyoukai 7 Satsujin Kousatsu Kou,action mystery romance supernatural thriller,8.57,95658
17389,Kingdom 2nd Season,action historical military seinen,8.57,31234
877,Nana,comedy drama music romance shoujo slice of life,8.55,197256
16498,Shingeki no Kyojin,action drama fantasy shounen super power,8.54,896229
10030,Bakuman 2nd Season,comedy drama romance shounen,8.53,151561
30346,Doukyuusei Movie,romance school shounen ai slice of life,8.53,28864
13125,Shinsekai yori,drama horror mystery scifi supernatural,8.53,288376
14719,JoJo no Kimyou na Bouken TV,action adventure shounen supernatural vampire,8.51,190197
30230,Diamond no Ace Second Season,comedy school shounen sports,8.5,38531
11981,Mahou Shoujo MadokaMagica Movie 3 Hangyaku no Monogatari,drama magic psychological thriller,8.5,135735
11917,Major World Series,comedy drama sports,8.5,13405
25781,Shingeki no Kyojin Kuinaki Sentaku,action fantasy shoujo supernatural,8.45,92543
4224,Toradora,comedy romance school slice of life,8.45,633817
22297,Fatestay night Unlimited Blade Works,action fantasy magic shounen supernatural,8.42,267484
4155,One Piece Film Strong World,action adventure comedy drama fantasy shounen,8.42,85020
558,Major S2,comedy drama shounen sports,8.41,30689
33,Berserk,action adventure demons drama fantasy horror military romance seinen supernatural,8.4,226430
329,Planetes,drama romance scifi seinen space,8.38,105044
19363,Gin no Saji 2nd Season,comedy school shounen slice of life,8.36,67032
21557,Omoide no Marnie,drama mystery psychological,8.35,53590
9617,KOn Movie,comedy music slice of life,8.34,115252
3091,xxxHOLiC Kei,comedy drama mystery psychological supernatural,8.34,74941
6,Trigun,action comedy scifi,8.32,283069
9735,Gintama Shinyaku Benizakurahen,action comedy historical parody samurai scifi shounen,8.31,14002
2167,Clannad,comedy drama romance school slice of life supernatural,8.3,566690
25681,Kamisama Hajimemashita,comedy demons fantasy romance shoujo supernatural,8.28,91796
24277,Yowamushi Pedal Grande Road,comedy drama shounen sports,8.28,50778
3167,Eve no Jikan,scifi slice of life,8.26,99074
31988,Hibike Euphonium 2,drama music school,8.25,47716
16662,Kaze Tachinu,drama historical romance,8.24,75359
25013,Akatsuki no Yona,action adventure comedy fantasy romance shoujo,8.23,216674
4938,Tsubasa Shunraiki,action adventure drama fantasy magic mystery romance shounen supernatural,8.23,40420
1506,Detective Conan Movie 10 Requiem of the Detectives,adventure comedy mystery police shounen,8.21,21789
27663,Baby Steps 2nd Season,romance school shounen sports,8.2,36251
3371,Ginga Eiyuu Densetsu Gaiden Senoku no Hoshi Senoku no Hikari,action military scifi space,8.2,8621
232,Cardcaptor Sakura,adventure comedy drama fantasy magic romance school shoujo,8.18,181249
4789,ef A Tale of Melodies,drama mystery romance supernatural,8.18,103657
934,Higurashi no Naku Koro ni,horror mystery psychological supernatural thriller,8.17,359494
153,Juuni Kokuki,action adventure fantasy magic supernatural,8.16,66646
1065,Touch,drama romance school shounen slice of life sports,8.16,12833
1943,Paprika,fantasy horror mystery psychological scifi thriller,8.15,163308
17265,Log Horizon,action adventure fantasy game magic shounen,8.14,387100
14713,Kamisama Hajimemashita,comedy demons fantasy romance shoujo supernatural,8.13,189641
9204,Omae Umasou da na,action adventure fantasy kids,8.13,6645
2924,ef A Tale of Memories,drama mystery romance,8.12,151106
13767,Junjou Romantica OVA,comedy drama romance shounen ai,8.09,23192
6774,Kuuchuu Buranko,comedy drama psychological seinen,8.09,41521
2752,Prince of Tennis The National Tournament Semifinals,action comedy sports,8.09,21186
15,Eyeshield 21,action comedy shounen sports,8.08,83648
16916,Kuroko no Basket Tip Off,comedy school shounen sports,8.07,41760
33032,Drifters Special Edition,action adventure comedy fantasy historical samurai seinen,8.06,9807
24,School Rumble,comedy romance school shounen,8.06,178553
268,Golden Boy,adventure comedy ecchi,8.05,113040
13331,Jormungand Perfect Order,action adventure seinen,8.04,81951
30279,Yuru Yuri SanHai,comedy school shoujo ai slice of life,8.04,44335
27989,Hibike Euphonium,drama music school,8.03,134694
4163,Seto no Hanayome OVA,comedy parody romance school,8.03,31973
13119,Hakuouki Movie 2 Shikon Soukyuu,action drama historical josei samurai supernatural,8.03,9492
8310,Magic Kaito,adventure comedy romance shounen,8.02,27274
11813,Shijou Saikyou no Deshi Kenichi OVA,action comedy martial arts school shounen,8.02,24167
29787,Gochuumon wa Usagi Desu ka,comedy slice of life,8.01,38102
1695,Les Misrables Shoujo Cosette,drama historical shoujo slice of life,7.99,9605
8516,Baka to Test to Shoukanjuu Ni,comedy romance school super power,7.98,183722
15195,Hetalia The Beautiful World,comedy historical parody,7.98,34960
597,Neko no Ongaeshi,adventure drama fantasy,7.98,92499
27947,Lupin III 2015,action adventure comedy shounen,7.97,16938
3750,Mariasama ga Miteru 4th,school shoujo shoujo ai slice of life,7.97,11779
569,Musekinin Kanchou Tylor,comedy military parody scifi space,7.97,19841
949,Top wo Nerae Gunbuster,action comedy drama mecha military scifi shounen space,7.97,51724
12413,Jormungand,action adventure seinen,7.96,137610
8609,Detective Conan OVA 10 Kid in Trap Island,adventure comedy mystery police shounen,7.95,7757
21339,PsychoPass Movie,action military police scifi,7.95,94677
24893,Sidonia no Kishi Daikyuu Wakusei Seneki,action mecha scifi seinen space,7.95,57665
543,Vampire Hunter D 2000,action drama fantasy horror romance scifi vampire,7.95,68229
1505,Detective Conan Movie 09 Strategy Above the Depths,adventure comedy mystery police shounen,7.94,20347
4447,Detective Conan Movie 12 Full Score of Fear,adventure comedy mystery police shounen,7.94,19290
22265,Free Eternal Summer,comedy school slice of life sports,7.94,150596
30123,Akagami no Shirayukihime,drama fantasy romance shoujo,7.93,157551
29755,Haikyuu Movie 1 Owari to Hajimari,comedy drama school shounen sports,7.94,13094
93,Mobile Suit Gundam Seed,action drama mecha military romance scifi space,7.93,96973
322,Paradise Kiss,comedy drama josei romance slice of life,7.93,86380
10083,Shiki Specials,horror mystery supernatural vampire,7.93,37657
4192,Hayate no Gotoku,action comedy harem parody romance,7.92,67323
10218,Berserk Ougon Jidaihen I  Haou no Tamago,action adventure demons fantasy military seinen supernatural,7.91,77103
3604,Hidamari Sketch x 365,comedy school slice of life,7.9,19180
4886,InuYasha Kuroi Tessaiga,adventure comedy demons fantasy magic romance shounen supernatural,7.89,16373
20767,Noragami OVA,action adventure shounen,7.89,104775
29830,Tamayura Sotsugyou Shashin Part 3  Akogare,comedy drama slice of life,7.88,3089
5680,KOn,comedy music school slice of life,7.87,386048
